site,Green_Button_Meter,,Electric_Meter,Electric_Meter_2,Weather_OAT,Weather_OAT_,TSTATS,SENSORS,oat,eagle_multiplier,multiplier_status
csu-dominguez-hills,,,Marco,,,,,,csu-dominguez-hills,1,check
orinda-library,4c95836f-6bdb-3adc-ac5e-4c787ae027c7,,need add number (Gabe),,,d21cbf72-ad32-361e-befa-23d75d0eb871,,,orinda-library,1,check
orinda-community-center,a373b62e-04f3-3c1e-b27d-279f792f4b18,,3f078a74-b290-3f88-b90e-46167cb003c6,,d21cbf72-ad32-361e-befa-23d75d0eb871,d21cbf72-ad32-361e-befa-23d75d0eb871,,x,orinda-community-center,2,verified
hayward-station-1,d2ad6682-8e44-374b-8bfe-9e25960a9be0,,a786c9bc-a5fb-3be6-827d-f297255cd404,,8c2408c5-0a66-3fb7-a5b2-dde9bb6aaf14,8c2408c5-0a66-3fb7-a5b2-dde9bb6aaf14,,,hayward-station-1,2,verified
hayward-station-8,e9c51ce5-4aa1-399c-8172-92073e273a0b,,502f6d99-3daa-37d1-97a0-2661b9174682,,3fe695be-bbd6-3390-9fe6-8d4fc407353f,3fe695be-bbd6-3390-9fe6-8d4fc407353f,,,hayward-station-8,2,verified
avenal-veterans-hall,a22be94b-c525-3442-88d3-936dc58de0be,,ff7b8a25-d4be-38c6-a840-93fe7d0d4aad,,,,,,avenal-veterans-hall,2,verified
avenal-public-works-yard,8a2f69f5-38f7-3e39-90bd-370a3aa38b77,,d191bb82-a577-3715-a8ec-2abbe7bfe8e7,,,,,,avenal-public-works-yard,2,verified
avenal-animal-shelter,f9ba6d7e-d730-31d7-95fb-d7ec0e4ab765,,9c5caebd-0c83-3f41-9325-fa67465c80b4,,,,,,avenal-animal-shelter,2,verified
avenal-movie-theatre,68e04192-e924-36b8-9c5e-f072bd93ed07,,ea827a42-e6b9-3e0a-970f-c3a96f0ebea3,,,,,,avenal-movie-theatre,3,verified
avenal-recreation-center,4d95d5ce-de62-3449-bd58-4dcad75b526d,,ad44f2bc-71e6-3c92-9e8c-d38fe61ac9f4,,,,,,avenal-recreation-center,0.025,verified
south-berkeley-senior-center,849cae1e-5714-34e1-8a4e-ec72ca71b0ab,,c021be89-50c3-35fe-878c-199e1cf7d63d,,67211868-de03-35f1-aa4f-b9beb14189e8,67211868-de03-35f1-aa4f-b9beb14189e8,,,south-berkeley-senior-center,2,verified
north-berkeley-senior-center,b31a38a5-659b-35e0-ad67-6ab8253da49a,,e3eb9336-ddad-3439-ae4b-c2589597859f,,,67211868-de03-35f1-aa4f-b9beb14189e8,,,north-berkeley-senior-center,2,verified
berkeley-corporate-yard,83146bd5-7893-3497-a0b8-cfe1af8d9f0f,,c9e3c4ca-831a-38e2-a831-6eb036e98df2,,89231361-da7b-32d2-a1d7-f2e7244f4b89,89231361-da7b-32d2-a1d7-f2e7244f4b89,,,berkeley-corporate-yard,4,verified
jesse-turner-center,,,aa7999f7-711c-37a3-b46d-58c1e20ebe2f,,32ebfac6-8f5c-3e1a-be07-dafbdd27c378,32ebfac6-8f5c-3e1a-be07-dafbdd27c378,,,jesse-turner-center,1,check
word-of-faith-cc,d3e66c59-5daf-3702-8c66-174c7acea506,update,ce818f9f-e982-30e9-8528-b55f8ac58cf8,add one,,,,,word-of-faith-cc,0.5,verified
word-of-faith-cc-2,c1da7e5f-3e37-3d71-b2ab-c3c5519905dc,,69378511-0dff-32e0-8538-1abdef929f86,,,,,,,0.125,verified
sdh,,,therese-gabe (xbos-obvious),,,67211868-de03-35f1-aa4f-b9beb14189e8,,,sdh,1,check
local-butcher-shop,136d22b1-4dbe-39b4-aaee-38543a691f9f,,e8ee760e-e0a9-34e1-a797-179c20bbadc7,,,67211868-de03-35f1-aa4f-b9beb14189e8,,,local-butcher-shop,1,check
ciee,d3489cfa-93a5-37e7-a274-0f35cf17b782,,4d6e251a-48e1-3bc0-907d-7d5440c34bb9,,1c467b79-b314-3c1e-83e6-ea5e7048c37b,1c467b79-b314-3c1e-83e6-ea5e7048c37b,,,ciee,1,verified
garbers house,gabe,,gabe,,,,,,garbers house,1,check
lbnl 90c,,,?,,,,,,lbnl 90c,1,check
brouqwerqe center,,,,,,,,,brouqwerqe center,1,check
rfs,,,82047932-2583-31a0-bb69-d5a1b798bd58,,,,,,rfs,1,check